p35code;unit_code;preferred_unit;multiplication_factor_to_preferred_unit;opmerking
EPC00001;UGKG;UPPT;1;
EPC00001;UPPT;UPPT;1;
EPC00002;UMGL;UMGL;1;
EPC00002;UPCT;UPCT;1;
EPC00002;UPOX;UMGL;0.032;
EPC00003;UPCT;UPCT;1;
EPC00004;UMGL;UMGL;1;
EPC00004;UPOX;UMGL;0.014;
EPC00005;UPOX;UMGL;0.014;
EPC00006;UMGL;UMGL;1;
EPC00006;UPOX;UMGL;0.014;
EPC00007;KGUM;UMGL;0.031;
EPC00007;UMGL;UMGL;1;
EPC00007;UPOX;UMGL;0.031;
EPC00008;UMGL;UMGL;1;
EPC00008;UPOX;UMGL;0.0281;
EPC00009;UMGL;UMGL;1;
EPC00009;UPOX;UMGL;0.014;
EPC00105;UGPL;UGPL;1;
EPC00105;UMMC;UGPL;1;
EPC00105;UPCT;;;leave out
EPC00105;;;;leave out
EPC00106;UMMC;UGPL;1;
EPC00108;UGPL;UGPL;1;
EPC00108;UMMC;UGPL;1;
EPC00131;KGUM;MMPL;0.000970874;
EPC00131;MEQL;MMPL;1;
EPC00132;KGUM;UMGL;0.012;
EPC00134;UMGL;UMGL;1;
EPC00134;UPOX;UMGL;0.014;
EPC00135;UPOX;UMGL;0.031;
EPC00157;UMGL;UMGL;1;
EPC00160;UMGL;UMGL;1;
EPC00168;UUPH;UUPH;1;
EPC00186;UMGL;UMGL;1;
EPC00190;UMGL;UMGL;1;
EPC00198;UMGL;UMGL;1;
EPC00201;UMGL;UMGL;1;
EPC00212;UMGL;UMGL;1;
EXTRA001;ULCM;ULAA;0.01;
EXTRA002;UPRM;UPRM;1;
EXTRA003;ULAA;ULAA;1;
EXTRA003;ULDM;ULAA;0.1;
EXTRA004;UMGL;UMGL;1;
EXTRA005;UMGL;UMGL;1;
EXTRA007;UGDX;UGDX;1;
WATERTEMP;UPAA;UPAA;1;
