dataset;csv_file;originalParameter;description;P01;use;unit;multiply;newUnit;P06;additionalField;additionalFieldValue
;;;;;;;;;;data_holder;NLWKN
;;;;;;;;;;data_owner;NLWKN
;;;;;;;;;;link_to_data;https://nlwkn.hannit-share.de/f/143229
;;;;;;;;;;link_to_metadata;https://nlwkn.hannit-share.de/f/143229
NLWKN-Bork;Bork_W_1_1994-2019.csv;Wassertemp. [�C];temp;PSSTTS01;x;;1;;UPAA;;
NLWKN-Bork;Bork_W_1_1994-2019.csv;pH;pH;PHMASSXX;x;;1;;UUPH;;
NLWKN-Bork;Bork_W_1_1994-2019.csv;O2 [mg/l];Zuurstofconcentratie;DOXMZZXX;x;;1;;UMGL;;
NLWKN-Bork;Bork_W_1_1994-2019.csv;O2-S?ttigung [%];Zuurstofverzadiging;OXYSZZ01;x;;1;;UPCT;;
NLWKN-Bork;Bork_W_1_1994-2019.csv;Leitf?higkeit [mS/cm];Geleidbaarheid;;;;;;;;
NLWKN-Bork;Bork_W_1_1994-2019.csv;Chlorid [mg/l];chloride;;;;;;;;
NLWKN-Bork;Bork_W_1_1994-2019.csv;Salz n.LF [PSU];Saliniteit;ODSDM021;x;;1;;UGKG;;
NLWKN-Bork;Bork_W_1_1994-2019.csv;Sal aus Cl [?];Salinteit_uit_chloride;;;;;;;;
NLWKN-Bork;Bork_W_1_1994-2019.csv;Seston [mg/l];Zwevend_stof;SPM02WE1;x;;1;;UMGL;;
NLWKN-Bork;Bork_W_1_1994-2019.csv;Gl�hverlust [%];gloeiverlies;;x;;1;;;;
NLWKN-Bork;Bork_W_1_1994-2019.csv;PO4 [?mol/l];PO4;PHOSKGD5;x;umol/l;0.031;mg/l;UMGL;;
NLWKN-Bork;Bork_W_1_1994-2019.csv;Pges [?mol/l];Ptot;TPHSVLPT;x;umol/l;0.031;mg/l;UMGL;;
NLWKN-Bork;Bork_W_1_1994-2019.csv;Silikat [?mol/l];SiO2;SLCAAAD1;;umol/l;0.028;mg/l;UMGL;;
NLWKN-Bork;Bork_W_1_1994-2019.csv;Ntotal [?mol/l];Ntot;MDMAP013;x;umol/l;0.014;mg/l;UMGL;;
NLWKN-Bork;Bork_W_1_1994-2019.csv;Amon [?mol/l];NH4;AMONAAD4;x;umol/l;0.014;mg/l;UMGL;;
NLWKN-Bork;Bork_W_1_1994-2019.csv;Nitrit [?mol/l];NO2;NTRIMADZ;x;umol/l;0.014;mg/l;UMGL;;
