data_owner;location_code;location_name;xy;dups;modelNames;station_name;descriptive_name;What to do?
IMR;eu_M260;M260;0.01_58.25;FALSE;NA;M260;M260;
IMR;eu_M363;M363;0.01_59.27;FALSE;NA;M363;M363;
IMR;eu_M362;M362;-0.01_59.27;FALSE;NA;M362;M362;
IMR;eu_M401;M401;0.01_59.29;FALSE;NA;M401;M401;
IMR;eu_M400;M400;-0.01_59.29;FALSE;NA;M400;M400;
IMR;eu_M534;M534;-0.01_60.01;FALSE;NA;M534;M534;
IMR;eu_M565;M565;0.01_60.33;FALSE;NA;M565;M565;
MSS;eu_J12;J12;-0.0102_59.2745;FALSE;NA;J12;J12;
IMR;eu_M402;M402;0.07_59.29;FALSE;NA;M402;M402;
IMR;eu_M609;M609;0.07_60.75;FALSE;NA;M609;M609;
IMR;eu_M608;M608;-0.07_60.75;FALSE;NA;M608;M608;
IMR;eu_M217;M217;-0.09_57.99;FALSE;NA;M217;M217;
IMR;eu_M610;M610;0.09_60.75;FALSE;NA;M610;M610;
IMR;eu_M607;M607;-0.09_60.75;FALSE;NA;M607;M607;
IMR;eu_M216;M216;-0.11_57.99;FALSE;NA;M216;M216;
RBINS;eu_C5018000;C5018000;-0.1367_49.545;FALSE;NA;C5018000;C5018000;
RBINS;eu_C5015000;C5015000;-0.1617_49.3733;FALSE;NA;C5015000;C5015000;
RBINS;eu_C5016000;C5016000;-0.1633_49.43;FALSE;NA;C5016000;C5016000;
RBINS;eu_C5019000;C5019000;-0.1633_49.5867;FALSE;NA;C5019000;C5019000;
RBINS;eu_C5017000;C5017000;-0.1667_49.4833;FALSE;NA;C5017000;C5017000;
RBINS;eu_C5021000;C5021000;-0.17_49.6967;FALSE;NA;C5021000;C5021000;
RBINS;eu_C5022000;C5022000;-0.17_49.75;FALSE;NA;C5022000;C5022000;
IMR;eu_M19;M19;0.23_56.99;FALSE;NA;M19;M19;
IMR;eu_M18;M18;-0.23_56.99;FALSE;NA;M18;M18;
IMR;eu_M64;M64;0.23_57.01;FALSE;NA;M64;M64;
IMR;eu_M63;M63;-0.23_57.01;FALSE;NA;M63;M63;
IMR;eu_M545;M545;-0.25_60.05;FALSE;NA;M545;M545;
IMR;eu_M611;M611;0.25_60.75;FALSE;NA;M611;M611;
IMR;eu_M606;M606;-0.25_60.75;FALSE;NA;M606;M606;
IMR;eu_M694;M694;0.25_61.25;FALSE;NA;M694;M694;
IMR;eu_M717;M717;0.25_61.75;FALSE;NA;M717;M717;
IMR;eu_M605;M605;-0.27_60.75;FALSE;NA;M605;M605;
IMR;eu_M361;M361;-0.31_59.27;FALSE;NA;M361;M361;
IMR;eu_M535;M535;0.31_60.01;FALSE;NA;M535;M535;
MSS;eu_J11;J11;-0.3283_59.2798;FALSE;NA;J11;J11;
IMR;eu_M364;M364;0.33_59.27;FALSE;NA;M364;M364;
IMR;eu_M360;M360;-0.33_59.27;FALSE;NA;M360;M360;
IMR;eu_M403;M403;0.33_59.29;FALSE;NA;M403;M403;
IMR;eu_M399;M399;-0.33_59.29;FALSE;NA;M399;M399;
IMR;eu_M519;M519;-0.33_59.99;FALSE;NA;M519;M519;
IMR;eu_M398;M398;-0.35_59.29;FALSE;NA;M398;M398;
IMR;eu_M604;M604;-0.45_60.75;FALSE;NA;M604;M604;
IMR;eu_M603;M603;-0.47_60.75;FALSE;NA;M603;M603;
IMR;eu_M342;M342;0.49_59.17;FALSE;NA;M342;M342;
IMR;eu_M664;M664;0.49_60.87;FALSE;NA;M664;M664;
IMR;eu_M261;M261;0.51_58.25;FALSE;NA;M261;M261;
IMR;eu_M301;M301;0.51_58.79;FALSE;NA;M301;M301;
IMR;eu_M453;M453;0.51_59.33;FALSE;NA;M453;M453;
IMR;eu_M479;M479;0.51_59.67;FALSE;NA;M479;M479;
IMR;eu_M483;M483;-0.53_59.73;FALSE;NA;M483;M483;
IMR;eu_M404;M404;0.55_59.29;FALSE;NA;M404;M404;
IMR;eu_M612;M612;0.57_60.75;FALSE;NA;M612;M612;
IMR;eu_M557;M557;0.59_60.23;FALSE;NA;M557;M557;
IMR;eu_M613;M613;0.59_60.75;FALSE;NA;M613;M613;
IMR;eu_M544;M544;-0.61_60.03;FALSE;NA;M544;M544;
RBINS;eu_R0102_GKSS;R0102_GKSS;-0.65_50.4167;FALSE;NA;R0102_GKSS;R0102_GKSS;
IMR;eu_M359;M359;-0.65_59.27;FALSE;NA;M359;M359;
IMR;eu_M405;M405;0.65_59.29;FALSE;NA;M405;M405;
IMR;eu_M397;M397;-0.65_59.29;FALSE;M397;M397;M397;
IMR;eu_M536;M536;0.65_60.01;FALSE;NA;M536;M536;
IMR;eu_M533;M533;-0.65_60.01;FALSE;NA;M533;M533;
IMR;eu_M602;M602;-0.65_60.75;FALSE;NA;M602;M602;
MSS;eu_J10;J10;-0.6577_59.2778;FALSE;NA;J10;J10;
IMR;eu_M20;M20;0.67_56.99;FALSE;NA;M20;M20;
IMR;eu_M65;M65;0.67_57.01;FALSE;NA;M65;M65;
IMR;eu_M406;M406;0.67_59.29;FALSE;NA;M406;M406;
IMR;eu_M396;M396;-0.67_59.29;FALSE;NA;M396;M396;
IMR;eu_M518;M518;-0.67_59.99;FALSE;NA;M518;M518;
IMR;eu_M532;M532;-0.67_60.01;FALSE;NA;M532;M532;
IMR;eu_M559;M559;0.67_60.25;FALSE;NA;M559;M559;
IMR;eu_M601;M601;-0.67_60.75;FALSE;NA;M601;M601;
IMR;eu_M17;M17;-0.69_56.99;FALSE;NA;M17;M17;
IMR;eu_M62;M62;-0.69_57.01;FALSE;NA;M62;M62;
IMR;eu_M16;M16;-0.71_56.99;FALSE;NA;M16;M16;
